shulen,shuleni
nzitaka,nzuitaka
mahina b,mahina a
swahili mashariki,swahili magharibi
mpirani c,mpirani b
lugukwa,rugukwa
bureni iramba,bureni ilamba
bureini ilamba,bureni ilamba
bulumbaga b,bulumbaga
kaguhu a,kaguhu
kaguhu b,kaguhu
lulwasimba,ulilwasimba
nyamvubuka b,nyamvubuka a
ntakaingwa,ntakasangwa
kiumbo,kimbo
mbalagane a,mbalagane b
mbalagane,mbalagane b
nambecha a,nambecha b
magagula a,magagura a
magagura b,magagura a
uyogo d,uyogo k
masigila,masimila
konge a,gonge a
chutope,chitope
nyamadoke center,nyampande center
nyampande centre,nyampande center
imaramakuwa,imarampaka
mumakombe,mmakombe
kinongo,kijongo
nambaro a,nambaro b
mingoyo,mingiyo
mwanjili,mwanjile
namalombe,namaloe
kalatuma,karatuma
miombwe,miyombwe
mbatamila,mbatamela
sanungu b,sanungu a
nyamalangalanga,mlangalanga a
munguzi a,munguzi b
igwata b,igwata a
igwata c,igwata a
nakajwenge,nyakajwenge
nyagundi,nyagudi
nyakatakala b,nyakatala b
busonjo,lusonjo
ikhangao,khanga
gaudu b,gaudu a
mhegero,mwegero
songelani,songelani a
usongelani a,songelani a
msanga a,masanga a
ulowa no.2,ulowa no. 1
ulowa no. 8,ulowa no. 1
busenge a,busenge b
kiimbila,kimbila
mwakilunguje,mwakirunguje
mpujini,pujini
mkongoloni,mkongoloni c
bushimani,bushimangila
bwemengo,bwenengo
ideganja,ideganji
magagula b,magagula a
minkutyu,minkuntyu
kinantugu,kinyantungu
naungo,nambungo
kwalambua,kwalambuwa
kivulini,kivuleni
manale c,manala c
yoliamwama,yoliamwana
isambaguli,isambagula
minchenja a,minchenja
mrukatiro a,mrukatiro b
bapulo,lubapulo
lyaudusi,nyaudusi
isagenghe a,isagenghe
isegenghe,isagenghe
nguvu kazi c,nguvu kazi a
makarawe mshamba la mbahazi,makarawe shamba la mbaazi
isundama,isundambwa
sundamba,isundambwa
isundamba,isundambwa
namatili,namali
migara b,migaera b
nengloriti,engloriti
ntobo kaskszini,ntobo kaskazini
ibindi b,ibindi a
utimbe,lutimbe
kandwa nshimba a,kandwanshimba
kandwanshimba b,kandwanshimba
chandima,chandama
wandri fuka,wandry fuka
ngelura,ngerura
kitongwaa,kitong'wa
kikondeni a,kikondeni b
ngurumani,enguruman
majengo yatabora,majengo yatavira
kwediseni a,kwediseni b
kagwe centre,kagera centre
kirole,kiole
wikumbirunde,ikunbirunde
ngongoma,mngongoma
bushigwamala,bushigwamhala
kazamwendo,kaza mwendo
ishelui,sheluyi
shelui,sheluyi
muheza b,muheza a
mwahuga b,mwahuga
mbalagashi,balagashi
kwafungo,kwasefungo
kwa nyanji,kwa nyanje
gomahenja,gomahenji
humbo,ihumbo
koaro,kowaro
ngunguru,nguunguru
mugajware,mugajwale
karutambwe,karutambe
shinde,shindeni
shindeli,shindeni
mwitambu,mwitambu c
mwitambu a,mwitambu c
ngomba chini,ngumba chini
nyabusalu no. 5,nyabusalu no. 7
gulumbai,ngulumbi
shului,kishului
butende,bulende
igunguti,igunguhi
mgweli,mugweli
chilota,shilota
shiloga,shilota
kenyamugambo,kenyamugabo
mbiti a,mbiti c
kitongoji c,kitooji c
kingole,kingoe
igalamo,igalapo
usuwilo,usupilo
natene,natene a
mwanzoli b,mwanzoli
kidereko b,kidereko a
sanga a,sanga b
kisiwani b,kisiwani a
katala b,katala a
kibamba mjini,kilamba mjini
mnganyingila,nganyangila
mgwamazi,mugwamanzi
itonjamandi,itojamandi
kahunda b1,kahunda b 1
kahunda b,kahunda b 1
shamungili,chamungili
oonjorai,oonjurai
nhiligi,nhiliki
mwamagalani,mwamagarani
kawajense 2,kawajense 1
iguku a,iguku b
mwalige,malige
ikongwe a,ikongwe b
nyarutambwe b,rutambwe b
mwakunuha,makunuha
ihushi c,ihushi a
kingamui,kingamoi
kingamoni,kingamoi
kingamoe,kingamoi
sambaguli,isambaguli
mrirai,mriai
nachaombs,nachaomba
silabera,kilabera
kashenge,kyanshenge
ikalime,ikanulime
kinamyuba,kinamyuba b
kyamalanga,kyamalange
mkondoni a,mkondoni b
mziru,miziru
ilorsiti,iloorsiti
maswanya magharibi,maswanya mashariki
mbikirija,mbikija
nyamigunda,nyamiguna
mkomboko,komboko
jengalagulu,jengalangulo
mwalumandwa,mwalubandwa
mwabuburi b,mabuburi a
ndong'e a,ndong'e b
namalewe,namalebe
kanyetamu,kanyetamo
nchimilo,nchimile
katwe 3,katwe 4
katwe 2,katwe 4
sigoba b,sigoba a
ofisini magharibi,ofisini mashariki
ikunguliboba,ikunguliaboba
mzambarauni b,mzambarauni a
tindiga,tindigo
penzi a,penzi b
nyakararo,nyakararu
kabila b,kabila a
bulilila,bulilila a
ibadela,ibadila
makaka a,makaka b
kwamianga,kwemianga
endarat,endarag
matema,mateema
nyangoko a,nyangoko
nyangoko c,nyangoko
bubinza b,bubinza a
bubinza,bubinza a
isunuka a,isunuka b
isuka b,isunuka b
chakatanga,chakaganga
kwedisasu,kweisasu
sagara,sangara
nangara,sangara
kitongoji cha kati,kiitongoji cha kati
nyasosi,nyasosi a
nyasosi b,nyasosi a
mwamtani b,mwamtani a
kinawanga,kinwanga
mwaya a,mwaya b
mabunga,mwabunga
shikule a,shikule b
kagabiro,kigabiro
beba,bea
namnimba,nanimba
ilolo a,ilolo b
emality,emaliti
matumain,matumaini
malenge b,malenge a
kchemchem,kichemchem 2
dukani b,dukani a
mamba f,mamba c
mamba d,mamba c
mamba e,mamba c
libondi,libonde
dundani,gundani
kisese a,kisese b
shigombola,shigombola b
kotongo store,kitongo store
nyamihanda,nyamihande
bukangiliga,bukanjiliga
basonyega,masonyega
kumkobe,kumkobe b
nyanguku b,nyanguku a
salugongo b,salugongo a
mwachonza,mwachonja
kudigongo,kuding'ongo
kwekibaya,kwekibaha
kipandeni b,kipandeni
kasherero a,kasherero
kashekero,kasherero
bupongo,bujongo
mkalendi,mkalenda
ishila b,ishila a
godima,igodimwa
kasoli b,kasoli a
angweduru a,hangweduru a
kinyaghagha,kinyaghaha
kinyaghagaha,kinyaghaha
kinyanghaa,kinyaghaha
barabara kuu b,barabara kuu a
lebosireti,loobosireti
lindi a,lindi b
maninga,mazinga
kitembo,kitumbo
bwilinde b,bwilinde
bwilinde a,bwilinde
mgamboi c,mgamboi a
mlamboi a,mgamboi a
nyakiogo,nyakikongo
shibuyi,shibui
kidarafa a,kidarafa b
kalatulu,karatulu
kifumvu,kifumbu
ijima,kijima
mabilioni a,mabilioni b
msengera b,msengera a
mchinjioni,machinkioni
lubisu,lubisu b
nyampangala,nyamsagala
kilugara,kikugara
birere,kibirere
ndandawale,ndandawala
ntebere,ntebera
karedani,qaredani
ishinde,shinde
nyagwirogwe,nyagwirongwe
nyagwirongwe c,nyagwirongwe
nyagwirongwe b,nyagwirongwe
muhanyati,mhanyati
kinyang'ama a,kinyang'ama
kinyang'ama b,kinyang'ama
nzigala a,nzigala b
majembwa,majembwe
kiagara,kijangara
udachi no 1,udachi no 2
kenswa mtaa wa pili,kenswa mta wa pili
bupandamawe,upandamawe
kiguguma,iguguma
salong'we b,salong'we a
kibambani,vibambani
mwaluji,mwalujo
msunsu,msunsu b
kitefure,kitefire
nyelenda,nyerenda
omukagando,omukagano
rushe b,rushe a
ikalanga magharibi,kalama magharibi
nkumbandii,nkumbadi
nyaburagala,nyaburagara
zelamakazi,zilamakazi
valakunga,malakunga
njia panda ya shimoni,njia panda ya shomola
sarieni,sareni
bubanga,bulanga
mwanili,mwanjili
jumbadimwe kichangani,jumbadimwekichangani
kilogwai,kidologwai
mabuluu,mabululu
bukombe,rukombe
mwamoja,mwamakoja
mwingiro a,mwingiro b
mnaweni a,mnaweni b
bwendanseko,bwendaseko
bwendanseko b,bwendaseko
kapalala a,kapalala d
kwemalui,kwemaluli
mwakusemwa,mwakusengwa
kimbai c,kimbai a
nyemhela,nyamhela
temeke b,temeke a
lolkisale a,lolkisale b
kasagamba,kasgamba
shibingo,shibingo b
shibingo a,shibingo b
ishinga,shianga
lukai,luai
ngoikumeni,ngokumeni
marti,emarti
mnkhola,mnkola
mumana a,mumana b
kirundu,kirundo
mbanja b,mbanja a
ngasani a,ngasani b
ngasani,ngasani b
mwangongo,mwanono
kiguru,kiguruu
mwamilyango,mwamlyango
mwamabu b,mwamabu a
mwasomwa b,mwasomwa
iteleja,iteleleja
mpulugumwa,pulugumwa
mwaseri b,mwasere b
ndeme magharibi,ndeme mashariki
udamasicheki,udomasicheki
mwarimba,marimba
busulwanguku a,busulwanguku e
busulwanguku,busulwanguku e
nkulusi center,nkuluso center
isunya,wisunya
iyang,hiyang
msagara a,msagara b
mumunu,mhumunu
liponde a,liponde b
lyang'ombe,lutang'ombe
ibiliza,ibilizi
ngholong,nholongo
milemwa a,milemwa b
kiteshe,hiteshe
nyakibishi,nyakibeshi
mugwaga,mugwanga
kipondoda c,kipondoda b
nyachina,nyachina b
isenengeja,isemengeja
nandala,nanyala
mwansangs,mwansanga
kingoma magharibi,kingoma mashariki
mbuta mashariki,mbuta magharibi
bulega a,bulega
lugogo a,lugogo
shugului,shului
nyuma ya mlima,nyuma ya mlims
ndalilo b,ndalilo a
kokigerege,kokikerege
ayarati,nyarati
wilungwa a,wilungwa b
kibuko,kibuo
izogolo,ipogolo
kwalihala,kwarihala
buliambwa,ibuliambwa
ikuliha,kulicha
mishili,mishiri
kwakombo shule,kwakombo shuleni
talaga,italaga
ibonele,kibonele
chin'olola,ching'orola
bwabuliochi,mwabuliochi
buyozi,buyonzi
isagalla a,isagalla b
nyandutulu a,nyandutulu b
italinonu,italinono
njasa juu,nyasa juu
kwa kweka,kwa kweka 2
nagilongos,nakilongos
nekilongos,nakilongos
kahatu,nkahatu
mdagala,mdagara
kaishenyenje 'a',kaishenyenje 'b'
nyakaka 'b',nyakaka
ibilingo b,ibilingo a
ibilingo c,ibilingo a
mwmang'ondi,mwamang'onda
ukuwayuyu,ukiwayuyu
malinga b,malinga
nyamajiva,nyamajiwa
nyamajila,nyamajiwa
nyarutambwe a,nyarutambwe b
ntabagu,ntabagudu
masunkune b,masunkune a
zagaza b,zagaza a
nakayonga,nyakayonga
ushitamigamba,ishitamigamba
isitamigamba,ishitamigamba
galani a,galani b
nyanguganwa,nyanguganwa a
isubalilo a,isubalilo b
uswakala b,buswakala a
katandara b,katandara a
igongwi,igongwr
sanganjelu,sanganjelo
usambaani,sambagani
kwamwiga,kwamwigwa
iyombakuzola,iyombakuzoa
mwamachibya,mwamachia
itubanilo,idubanilo
hhaki,hhalki
legamwendo,legezamendo
buyoga a,buyoga b
kwekuli,kwekulo
nijanija,ijanija
nyakaflo,nyakaflo b
san`gara,san`gana
san`gans,san`gana
misungwida,msungwida
lilambo kati,lilambo a
kilimba b,kilimba a
makoteni b,makoteni a
rusenyi,lusenyi
mantanke,mantamke
madisa b,madisa a
igalagalilo b,igalagalilo a
lyoma b,lyoma a
kasharara a,kasharara b
nanguge,nanguga
sinde b,sinde a
mponda c,mponda a
itonjamoto,tonjamoto b
kiruku mchangamwekundu,kiruku mchangamweupe
isengavakiwa,isengavakiva
mwakundi b,mwakundi a
endanachani,endanachan
kwa sondro,kwasondro
haikafa,haikaf
bushega,busheza
makotopora,makotopola
nyabiga,nyabisaga
nyaghona,nghona
nyangwale,nyanghwale
pwani a,pwani b
mkono mara,mkono wa mara
elimu a,elimu b
kange,nkange
mahamani,mahaamani
mwakipanda,mwakipanga
kigori,kwigori
milala b,milala a
milala c,milala a
ibambasi,bambasi
kasangali,kisangali
manguruma,manguluma
mwasimongoli,mwasimwongole
mwasimwongoli,mwasimwongole
kitondwe a,kitondwe b
mwilongalage b,mwilongalage a
mpito a,mpito b
sangiwe,sangaiwe
hihalahala,kihalahala
ipela b,ipela a
mbugujo,bugujo
mgolafinyonge,mgololafinyonge
ngemo a,ngemo b
irondo mgharibi,irondo magharibi
ntumbati,ntumbate
idonda matanga,igonda matanga
ilyamnche,ilyamche
itwangi,itwango
nangwa juu,nanngwa juu
mumaranvya,maranvya
molangi,mlangai
kibatula,batula
gwandumehi,gwandumei
ingwagwele,ngwangwele
bugorora b,bugorora
bugorora a,bugorora
ngaida,ngahida
mwasimke,mwasamke
usalama a,usalama b
irendi a,irendi b
tabu aman,tabu amani
kashara a,kasharara a
buyagaa,buyagab
nyamanolo a,nyamanolo b
sumbuga,sumbugu
bujinja,buiinja
nambaluta,nambaluka
msagala a,msagara a
kwa sasu,kwasasu
nyamsebei,nyamsebei a
ng'inkoku,ng'inko
king'inga,king'inga b
ndelama,ndelema
apembe,hapembe
komzolo,komsolo
kikonoka b,kikonoka
kalumwa,kalumwa b
mwawingo,mwawinga
butabare,butakare
songea a,songea b
itobanilo b,itobanilo a
katenga a,katenga b
yugalilo,nyugalilo
bunigonzi,bunigonzi n4
kishenge,bishenge
ngemwambula,ngemwanbula
isebelo a,ibelo a
kashambiya,kashambya
nyelema,ngelema
nanda b,nanda a
kichangano kati,kichangani kati
nyamisale,nyamisare
hharki,hhaki
ningirisi,ningirisia
butinzya,butinzya c
salunda b,salunda a
masindi b,masindi a
mwamsike,mwasimke
suge,sunge
kuliande,kuriliande
mhogwe b,mhogwe a
jaribio,majaribio
sakidawa,stakidawa
kilema a,kilelema a
ituga mashariki,ituga magharibi
mwamabugo,mwamabungo
wamabungo,mwamabungo
galugila,garugila
chamalendi b,chamalendi a
shiloleli,hiloleli
msisai b,msisai a
mululinzi,murulinzi
mwangombe,mwangome
kashekera,kashekero
makoge,mkoge
dunduma,dunduna
bushola,bushora
mbugangirija,bukangirija
msindeni b,msindeni a
ndebelwa b,ndebelwa a
mwajijabende,mwakijabende
mkiwa,makiwa
biirabo b,biirabo
nyampemba chini,nyampemba chuni
hailosi a,hailosi b
nyamboko,nyamko
cha mawe,chamawe
dodoma kati,dodomakati
mwadundu,mwadundi
daisalama,daisama
kiburunge,kibulunge
butabale,butale
yesa mayala,yesa mayaka
kimbugo,kibugo
minghaa,minghanga
usimikinyi,isimikinyi
bitale shule,bitale b shule
mwashiwiwi b,mwashiwiwi
tobo,ntobo
mwekera b,mwekera a
mtranjiwa,mturanjiwa
manguruma b,manguruma
galika,bugalika
kitimbiriu,kitimbirihu
misimbwa,msimbwa
mwakambonja,mwakambunja
shama a,shama b
igatengwa,nsigatengwa
mushrijog,mushorijogu
kinyauri,kinyauli
mwakambonje,mwakambonja
badagi,bandagi
chasheve,chasheva
mtesuka b,mtesuka c
mwampagabule,mwampangabule
tembo a,tembo b
muhangazi a,muhangazi b
mazintiswe,manzitiswe
kwamatukuu,kwamatuku
kitenga s,kitenga
kagenda b,kagenda a
kahunda 3,kahunda b
buhula,buhulila
maendeleo b,maendeleo a
kashaba a,kasha 'a'
luikula,lwikula
butugara,butugala
mwajilungu b,mwajilungu a
lugimba,rugimba
kituntu a,bituntu 'a'
kidowani,kidawani
mjigojigo,mujigojigo
seleli b,seleli a
makelo juu,makero juu
ipuli b,ipuli a
mtangashari a,mtangashari
nkaloi,kaloi
kasia,kasika
migudeni,migude
nkunguhu,nkunghuu
muwondo a,muwondo b
narunyo,naronyo
msiliembe shule,msiliembe shuleni
nachilonje,nachilonji
sebelo b,sebelo a
kitanguyaro,kintanguyaro
ikongoigare,ikungigare
ngangilonga,igangilonga
gangaliga,kangaliga
mkungumizi,mkukngumizi
mkukumizi,mkukngumizi
mazashai,mzashai
mwahinda c,mwahinda b
tapaila b,tapaila a
bushini b,bushini a
semaki,semaki a
usongoni,osongoni
ilaba b,ilaba a
