,replacement
29946,ishihimulwa
29947,omukashenyi
29950,mnyusi b
29953,izika
29956,simambwe
29957,imalangi
29958,bwawan
29959,mchemela
29960,dinyanga
29966,nyanzenda center
29967,ishigwandama
29968,kilungu
29970,kishale
29972,mwiluti
29973,godown a
29974,kabulonge
29977,tambuka relini
29978,kumwai
29982,kinyinya
29983,masumuni
29984,walla
29987,masanwa
29988,mirambi
29989,lusangi
29990,mwagwisu
29993,madizini kati
29998,ludewa
29999,jj
30006,msela
30007,makiweru
30008,mtamba shule
30011,ngando
30013,dinyanga
30014,omukashenyi
30019,mgomba kaskazini
30023,kwitangi
30024,ilimitongo
30026,kabulonge
30032,ngando
30035,kigalama
30036,mbae mashariki
30041,isalalo
30043,nyanghuluku
30045,cha mashariki
30048,yungu
30054,izika
30059,mbuyura a
30060,mpondomo
30061,jj
30063,shihando
30064,m/kati
30065,mlesa
30070,mnadan
30071,ibadakuli kati
30073,buswalila
30074,kipogoro
30075,kibagwe
30077,kafulo
30082,kumwai
30084,kwiriba
30085,liwola
30090,ngando
30094,unyarughe
30098,msowero c
30099,kwa banda
30100,mrukurazo
30105,orbesh
30110,maforoni kati
30114,sango
30117,murusagamba
30121,liwola
30124,kagondo kaifo
30125,omukashenyi
30127,mzambaraweni
30138,moyamayoka
30139,katuruka
30140,itugutu
30142,imalangi
30143,sebuleni
30148,lusangi
30149,igo
30150,mininga a
30152,kasanda
30153,kongowe kati
30154,mwamagunguli
30159,nyamkong'oti
30160,lupanga a
30161,kihogazi
30162,ishihimulwa
30164,kibagwe
30165,goha
30168,mkukwe
30170,no 1
30171,nyakuguma
30173,itunda a
30174,igominyi
30178,nyaruziba
30179,rwisaka
30180,nyakisiku
30181,kapugi
30182,bulimbwe
30183,lubele
30185,kipogoro
30186,nemba
30188,mkoka
30189,lomishila
30191,tundwi centre
30192,kibana
30195,ipombwe
30197,lwanji
30199,no 1
30200,moniki
30203,ngado
30205,nselembwe
30206,nselembwe
30207,wasso
30209,kamsamba kati
30211,ndalambo kati
30218,mvumi a
30219,marukeni
30220,mraurau
30221,unyarughe
30224,nyarukongogo a
30225,ikiligano
30227,kateela
30233,kida chini
30235,matwalani
30237,lwanji
30239,mubamba
30240,centre
30253,ibangamoyo
30254,imalangi
30256,dulaghag
30257,kajeje
30259,mumigezi
30261,mkapita
30263,mengeni
30264,dosidosi
30268,gwanumpu a
30271,uyamba
30272,mkapita
30274,shungubweni
30275,mzenga a
30278,mkapita
30283,ipombwe
30285,kidalini
30286,chapulwa
30291,onya
30293,m/kati
30296,igo
30298,usisya kati
30299,mungumaji
30302,welu kati
30304,miziro
30310,kurungeni
30312,okaseni chini
30315,nyambili kaskazin
30317,ngonga
30319,itinde
30320,mwang'holo
30321,siuyu
30323,bukiriro kati
30324,singiwe a
30327,ipinda
30328,ruaha kati
30331,kashenshero
30332,imalangi
30334,msegelele
30339,mshoka
30341,ipilingitya
30342,dinyanga
30348,usisya kati
30354,centre
30360,mtimbwani a
30367,kenswa mta wa kwanza
30369,tengelimembe
30370,some
30374,idopedope
30378,mpondomo
30382,mwandege
30383,uhemeli kati
30385,nangurukuru
30387,ukereni
30388,chakwale mjini
30390,mkondachi
30391,iponda
30399,sopa kati
30402,mchanga wa kichwa b
30404,zaburi
30405,nselembwe
30406,njoro sokoni street
30412,ndamba
30419,nia njema a
30420,kumwai
30431,sopa kati
30432,endaqulaqula
30435,itunda a
30440,swila
30441,itundu
30444,matekelo
30446,buhekela
30447,mgama a
30448,mchanga wa kichwa b
30452,ishigwandama
30454,njeje
30455,endaqulaqula
30457,katuruka
30459,nyanzenda center
30460,toronto
30461,komankwavi
30462,soyekiutu
30468,mbwamaji
30472,kigale
30477,dakau kati
30480,dakau kati
30482,ruponda
30486,kigale
30487,mkoka
30488,kahangara
30490,kasala
30494,midahani
30495,imalangi
30496,buhekela
30499,mwamagunguli
30501,kibosou
30503,kabwana
30505,pamila
30506,kamsamba kati
30507,wasso
30509,chela center
30510,miziro
30514,mofi
30516,kiwela a
30517,mgwashi
30518,mlete
30521,gumali
30522,chiminula a
30525,ugunigu
30528,mpondomo
30529,kibululu
30534,kabirizi mangaribi
30535,mtukura
30543,shambwe
30544,mpondomo
30545,ishilanga
30550,migege
30553,mtimbwani a
30554,nduta
30555,arati
30558,busango
30559,mabamba mjini
30560,mtimbe
30561,nyundo
30564,ishihimulwa
30566,isalalo
30567,kipogoro
30568,walla
30569,isalalo
30570,nakibondo
30573,kasanda
30576,kilungu
30581,nanga kati
30585,no 1
30586,mahongole a
30588,mhaka
30593,nselembwe
30602,mchombe a
30603,matundasi a
30615,mganza kati
30617,olorien
30618,kamnyalile
30619,mbesi
30620,centre
30623,tambuka relini
30624,dosidosi
30626,nsololo tankini
30634,kaluyango
30635,libaratua
30636,stand a
30637,changaraw
30638,ntapisi kati
30642,luhorya
30645,sumpa
30646,nyanswega
30651,ubela
30653,godauni a
30655,nyakasero
30658,mtoninganga
30659,lomishila
30663,dakau kati
30666,engutukoit
30667,usomeke
30669,kilungu
30673,iropa
30675,lubindi
30678,imisigiyo
30681,kyimo
30684,ihawa
30688,nemba
30690,lisimonji
30694,imalangi
30699,amuhama
30702,matadi a
30703,ishigwandama
30706,kinyinya
30707,centre
30709,nyabusozi
30712,malolo chini
30713,mkwaja
30714,tupa
30726,nyamkong'oti
30727,lituhi 'a'
30730,kamsamba kati
30732,ngayagaye
30735,mende
30737,no 1
30738,mlesa
30739,igumbiro kati
30743,nyambili kaskazin
30744,upondya
30745,ipilingitya
30746,shanga
30747,kuvukareli
30750,jj
30754,usisya kati
30757,kabwana
30762,kimira
30763,kwetongo
30767,ipapa kati
30770,tupa
30772,irangali
30781,kabakara
30784,mwalukuliko
30786,isingiro stati
30787,mtukura
30788,kipogoro
30790,mtalala
30792,itete a
30794,unyang'ongo
30795,kigongoni street
30797,kitonto
30805,buswalila
30806,mikameni
30807,ccb
30810,maliasili
30813,tuleane
30815,general tyre
30816,mkukwe
30817,lusind
30820,ng'ai
30822,rusesa
30828,emao
30830,mbunju
30831,disa mtaoni
30832,i/kati
30833,kilungu
30835,mikaragata
30836,matimba
30839,nselembwe
30843,magangasenga
30844,mlesa
30846,walla
30850,mtalala
30852,doma store
30854,bermi a
30855,no 1
30856,ndalambo kati
30860,stendi mpya
30864,ebuyu
30865,mzambaraweni
30866,kigale
30870,mumigezi
30871,mtaa wa mbondole
30873,nyandagwa
30875,nselembwe
30876,isalalo
30877,ikiligano
30883,mchemela
30885,no 1
30886,rukira
30887,nzumba
30892,mubamba
30893,kashenshero
30895,nyabuyange b
30901,nyamalebe
30903,mhunda
30904,kilungu
30906,magoweko
30908,godauni a
30909,katanini street
30910,itaba
30911,afrka ya kati
30919,itungulu
30922,jumuiya
30924,oloshonokie
30926,zongomela
30929,arkaria
30934,kuvukareli
30935,nduamughanga
30938,stand a
30939,nyanzenda center
30948,lusangi
30949,itunda a
30956,mofi
30959,goha
30963,ruaha kati
30964,nyanzenda center
30967,mahango
30969,ishihimulwa
30970,msegelele
30972,kiromo b
30973,nanyati
30974,igombatavangu
30981,m/kati
30982,kabakara
30983,makaro
30984,nzihi b
30986,kanalunwa
30988,itete a
30989,bukiriro kati
30990,national park
30994,mwarongo
30996,makugulu 'b'
30997,kamazi
31001,mwigumbi centre
31002,mtaa wa mbondole
31003,kiwela a
31004,meshili
31005,mtoninganga
31006,lihami
31008,mlesa
31010,mininga a
31015,mgwasi
31017,ruponda
31018,mishenye
31020,kidalini
31023,lusangi
31024,hudumani
31026,ruponda
31027,shaudo
31028,kiegeani
31031,shuleni street
31034,mahokoi
31035,ipilingitya
31036,usesi
31042,nyabuyange b
31043,nguti
31050,kilungu
31051,no 1
31052,nkiniziwa c
31057,handei
31058,gwanumpu a
31059,mchombe a
31062,mtaa wa kinyerezi
31063,uhepera
31064,matanda
31065,lengare
31068,madizini kati
31071,kahangara
31072,mshoka
31074,nkiniziwa c
31075,mwinja
31078,sayuni
31080,nselembwe
31081,dofa
31084,kabwana
31087,kiverenge
31088,unyarughe
31090,kagenyi b
31091,godauni a
31092,nyakibanga
31093,nsojo
31097,madindo
31098,maliaseli
31106,ikiligano
31107,nsololo tankini
31109,nyakisiku
31110,chapulwa
31112,kwa tulele
31113,kitipwi
31114,ngando
31118,rwisaka
31120,muuti
31123,bugoloka
31124,centre
31128,mhekela kati
31130,bunukangoma
31132,irua
31133,amuhama
31137,mkapita
31139,ishigwandama
31146,bukiriro kati
31147,naimba
31149,godown a
31151,ilkirumuni
31152,hedaru b
31157,mondelo
31158,kabirizi mangaribi
31172,mpondomo
31174,ruvuma a
31175,chakwale mjini
31181,mende
31182,go down
31184,kagondo kaifo
31186,nyashishi
31190,ng'amba
31192,ng'ai
31197,sebuleni
31199,masela
31201,mbingu
31204,nyakahanga
31205,merali
31206,kitipwi
31207,hinjiri
31209,kasumo
31211,hilu
31215,igelehedza b
31216,mdaga
31218,mji a
31220,moteti
31229,kabakara
31236,ishihimulwa
31239,barabara 7
31241,kainam
31242,kigale
31243,mkapita
31244,bulale
31251,muyegeani
31253,mji a
31255,sangamwampuya
31256,iropa
31259,kamazi
31262,kilungu
31268,kinyamwel
31269,kaluyango
31271,chizomoche
31272,byasyo
31274,mtamba shule
31276,bukene mjini
31277,dakau kati
31278,rabai
31281,karansi
31287,jj
31288,mininga a
31289,nyabusozi
31291,junjuhu
31295,kateela
31296,ndalambo kati
31301,kabirizi mangaribi
31302,lusangi
31303,mpenvyi
31304,machengere
31306,kwaraa
31309,kigale
31310,mbasakati
31311,onya
31314,iziwira
31316,lekako
31317,nzihi b
31318,sebuleni
31320,mbesi
31323,nkeso a
31326,okaseni chini
31330,raha leo b
31332,mwalukuliko
31333,riata
31334,bigwa barabarani
31337,itefa
31341,maforoni kati
31342,sovoyo
31343,embaruway
31344,nampako
31345,lituta
31348,manuwas
31352,ugunigu
31354,junjuhu
31355,mugombe b
31357,no 1
31359,kasala
31360,kyafuma
31361,igominyi
31362,izika
31364,lugongoni
31369,mhunda
31373,murusagamba
31374,embaruway
31375,mnyusi b
31376,mandel
31377,muuti
31382,iragua kati
31385,izika
31391,kimiza
31395,madizini kati
31396,changaraw
31397,yungu
31401,shungubweni
31402,chiyanga
31405,nselembwe
31406,mara a
31407,jabutwa
31408,rukira
31409,mwabeya
31411,dinyanga
31412,kashenshero
31416,kidalini
31418,singiwe a
31420,arkaria
31421,intera
31424,nyakitanga
31429,lusangi
31432,nyakahanga
31434,mkula a
31436,mazighani
31437,nyanswega
31445,nsanga
31446,kibati
31447,shari kati
31448,manuwas
31449,kwanadenge
31459,omukashenyi
31460,nyakibanga
31462,iziwira
31466,moa
31467,kagondo kaifo
31470,sangamwampuya
31471,nyashishi
31474,rabiro
31475,stahabu azimio
31484,mofi
31487,makaoni
31488,miziro
31491,ruvuma a
31493,engikaleti
31496,mwabakali
31497,mlesa
31500,ilkisongo chini
31501,kahangara
31505,omukashenyi
31508,mtaa wa zingiziwa
31512,madizini kati
31515,nyanungu
31516,amuhama
31517,madindika
31518,kitui
31520,kidalini
31522,emao
31524,tupa
31527,chakahaya
31530,bulaho
31536,kapugi
31540,amuhama
31542,reha
31544,lusangi
31545,mparamawe
31546,nsojo
31550,sogeambele
31551,izigira
31552,busale
31554,mkoka
31555,gudugudu
31559,maliasili
31563,endamagai
31564,nyakasero
31570,mandel
31574,matanka
31575,isandula b
31576,imalangi
31577,msegelele
31578,kasanda
31579,nyambili kaskazin
31580,zongomela
31583,nyanzenda center
31584,m/kati
31586,magangasenga
31590,nemba
31591,mwabakali
31593,wasso
31594,lalago mjini
31597,kinepa
31599,lufilyo
31602,kasanda
31606,mlesa
31607,kasumo
31609,naureni
31612,wasso
31618,bastena
31619,wichamike
31620,bermi a
31621,centre
31622,kiswila
31626,engikaleti
31627,magoti
31628,ikovo
31631,kidalini
31632,mvumi a
31636,irangi
31639,nsololo tankini
31642,sebuleni
31643,kanalunwa
31644,litembo chini
31645,ruvuma a
31646,kanalunwa
31647,saja kati
31648,kahangara
31650,olborumu
31651,misheni kati
31653,wikichi
31655,meshili
31660,arati
31661,ugunigu
31662,ibadakuli kati
31665,msimba a
31668,pimbi
31669,kiwela a
31670,balangai
31674,mabamba mjini
31675,kabagombe
31678,gitianga 'a'
31680,chiminula a
31682,godauni a
31683,swebo
31684,mwamagaka
31685,jj
31689,ruaha kati
31690,rugongoni
31692,mzambaraweni
31698,itungulu
31701,mparamawe
31702,mubamba
31703,chisichili
31704,isanzike
31706,madindo
31708,bugumwa
31709,mirambi
31710,mikole
31712,kabera
31717,mirambi
31718,kasanda
31724,digodigo mjini
31726,nsongoro
31727,mpondomo
31728,weruweru
31730,mwantondo
31732,balangai
31733,tlawi juu
31734,unyang'ongo
31735,makando
31736,isingiro stati
31738,moteti
31742,bugumwa
31743,kamilangete
31747,mwigumbi centre
31748,mikole
31750,katanini street
31751,sebuleni
31754,migege
31757,kabagombe
31760,tandai
31761,moyamayoka
31762,kaluyango
31764,itungulu
31770,imisigiyo
31772,nyanzenda center
31775,mahango
31780,msanzi kati
31785,tupa
31788,liwola
31791,nyanzenda center
31793,nzihi b
31795,godauni a
31797,mahanzi
31800,bulyang'ombe kati
31802,nyabuchegeche
31804,kabela
31805,nyanswega
31806,nyanungu
31807,embaruway
31808,bukene mjini
31809,i/kati
31810,bulale
31815,matarura
31816,mremre
31817,ugimu
31819,kariwa kaskazini
31820,amuhama
31821,mji a
31823,lubele
31824,mtimbwani a
31827,hilu
31829,bwani
31830,kipatimu boma
31833,igegu
31836,chalangwa a
31837,maliasili
31840,benaco
31842,moteti
31844,mkapita
31847,lupofwe
31848,mkoka
31849,kitipwi
31854,buhekela
31855,no 1
31857,ibadakuli kati
31858,chizomoche
31859,lumbila kati
31861,lusangi
31862,mparamawe
31865,mubamba
31866,usisya kati
31868,nyakisiku
31873,kuvukareli
31874,nyarukongogo a
31876,mbesi
31877,mbagula chini
31882,nzumba
31885,walla
31886,reha
31891,kiwida
31892,lituhi 'a'
31895,iwanga kati
31898,kimbangulile
31899,nsanga
31902,nyabuyange b
31904,nkiniziwa c
31907,weruweru
31908,ndorobo b
31910,bwawan
31911,no 1
31915,msela
31921,dulamu
31924,kasanda
31926,lutumbi
31929,nyaruziba
31930,wita
31931,olubomba
31932,makanya a
31938,matiani
31939,ihenye
31940,kibati
31941,lubindi
31943,changaraw
31944,irangi
31946,nampako
31950,kanalunwa
31951,ishihimulwa
31952,magangasenga
31962,mijelejele
31965,ihenye
31966,itugutu
31967,maduka
31968,kamilangete
31969,moyamayoka
31971,kwiriba
31977,kafulo
31981,metto
31983,kumutumba
31984,ipilingitya
31988,nakiu
31989,usisya kati
31991,kisondo
31992,ishilanga
31995,ikovo
31996,difungo
31997,tangu
32000,hinjiri
32004,luhorya
32005,mhaka
32008,nanga kati
32012,ngombezi
32016,kilosa kati
32019,buswalila
32021,kasese
32023,kurungeni
32024,nyaga
32026,kahangara
32027,ilela
32030,mtimbwani a
32031,kamilangete
32033,isalalo
32035,bwawan
32036,hasale
32041,lyamrakana
32044,malla
32046,kahangara
32049,kipatimu boma
32050,sufi
32053,nselembwe
32055,kigugu
32056,bukigi
32057,mbesi
32058,toatoa
32059,chela center
32062,centre
32065,namwawala a
32067,ndorobo b
32069,new city
32072,ruponda
32075,mubamba
32077,kibiti kati
32078,lusangi
32079,madizini kati
32081,mlesa
32082,no 1
32084,vumari
32086,zongomela
32090,buhekela
32091,mremre
32095,isingiro stati
32101,msowero c
32105,matiani
32106,mhunda
32113,moteti
32114,mbagula chini
32116,kahangara
32117,sia
32118,gudugudu
32124,magoweko
32127,kahangara
32128,kinyinya
32130,shungubweni
32131,ambureni
32133,mlangarini
32135,nselembwe
32137,kumwai
32141,mkomambinda
32143,longululu
32145,kidoma
32147,mofi
32148,mwarufyu
32151,nemba
32154,ndrumangeni
32155,mikole
32156,no 1
32157,nyabusozi
32161,lalago mjini
32162,mengeni
32166,ishihimulwa
32169,ng'ai
32172,kitipwi
32174,nyakasero
32175,kagondo kaifo
32179,mbae mashariki
32181,general tyre
32184,ngombezi
32187,mandel
32189,mumigezi
32194,bwawan
32196,nselembwe
32197,go down
32199,msegelele
32202,shungubweni
32203,new city
32204,lusangi
32205,kisanjuni
32210,migombani juu
32211,kianama
32212,mkoka
32216,kagarama
32217,katyongoli
32218,mafungu mifugoni
32220,mwabusalu
32224,centre
32228,m/kati
32230,kiruani c
32232,nakiu
32234,kibama
32235,ugunigu
32236,kwitangi
32240,kemugongo a
32243,lekako
32247,cha mashariki
32248,shabayanda
32251,isalalo
32259,makovo
32260,bulyang'ombe kati
32266,mubamba
32271,ishigwandama
32272,makili a
32278,dumanang
32281,maduka
32282,liwola
32291,mkapita
32292,kambai
32293,itunda a
32298,ndalambo kati
32299,junjuhu
32300,kirueni kati
32301,mijelejele
32304,msanzi kati
32306,lituhi 'a'
32311,kilungu
32312,kibwe
32314,bunukangoma
32316,nsambya
32320,isawero
32324,toatoa
32326,madizini kati
32327,ngerengere kaskazini
32331,irangali
32334,unguuni
32338,nakibondo
32344,dakau kati
32346,siuyu
32347,matyazo a
32348,kinepa
32354,igegu
32358,kiwida
32361,bermi a
32363,nyanzenda center
32364,dulamu
32365,mwabeya
32366,kasala
32370,mji a
32371,nzihi b
32375,nyanghuluku
32380,ngana
32386,amuhama
32387,tingi mjini
32392,marumbo
32394,maforoni kati
32395,mkomambinda
32396,nsambya
32397,mungumaji
32399,omukashenyi
32401,mwaluzilo
32403,ng'ai
32405,ngabobo
32406,busota
32407,uyamba
32408,luwaita juu
32412,kigale
32417,disa mtaoni
32418,bulifani
32420,weruweru
32422,ishima
32426,iyalawe
32428,kavambughu
32432,ihawa
32433,ipombwe
32434,iduta
32438,tahuru
32439,ruaha kati
32440,siuyu
32441,rukira
32443,qaru
32447,gwiru
32448,walla
32449,bukene mjini
32451,itinde
32453,emao
32457,kumwai
32460,ruaha kati
32461,ishilanga
32464,miziro
32465,mkoka
32466,kisanzuni
32467,kamsamba kati
32470,no 1
32471,liomero
32475,isalalo
32477,mahango
32478,moniki
32480,maji coast
32481,rwisaka
32483,lupanga a
32484,kahangara
32485,mirambi
32487,mlesa
32488,kumwai
32490,mubamba
32491,masumuni
32496,makugulu 'b'
32497,namalema
32498,mkululu
32500,nduta
32501,omukashenyi
32504,itunda a
32510,new city
32512,matongolo
32516,ridhione
32522,igegu
32523,kabirizi mangaribi
32528,ilongelo
32530,dumanang
32531,nsongoro
32532,ikenywa
32533,kidalini
32534,kanalunwa
32535,kibati
32539,mwigumbi centre
32543,mubamba
32544,tanaka
32545,madindika
32547,lisimonji
32550,kabela
32554,ibadakuli kati
32556,mikaragata
32557,maduka
32559,nanyati
32561,doroto
32563,onya
32565,imalangi
32567,muningori
32569,mengeni
32571,bwawan
32572,tlawi juu
32576,kiwela a
32578,nkiniziwa c
32579,simha
32581,ng'amba
32585,mamburay
32586,chakwale mjini
32587,mbweru
32589,ruponda
32592,tupa
32594,kamwene
32596,sebuleni
32603,mwantondo
32605,mkululu
32607,kiswila
32609,mpingi a
32610,mwagwisu
32611,dofa
32612,ngombezi
32615,kumwai
32616,zobogo
32617,ndalambo kati
32620,tlawi juu
32625,mae juu
32628,some
32630,pimbi
32632,kilosa sido
32633,centre
32634,makili a
32635,iwanga kati
32636,jj
32637,mofi
32638,chikwera
32639,imalangi
32640,kibagwe
32643,kasemi
32645,katanini street
32648,ngerengere kaskazini
32649,m/kati
32650,simha
32651,kiwida
32653,nyabuyange b
32654,salanga
32655,zongomela
32661,kamsweke
32663,ukereni
32665,msela
32667,mende
32669,usari
32670,mahango
32673,lubindi
32674,lusangi
32678,mji a
32684,bugoloka
32685,busekwa
32686,kwiriba
32690,maini
32694,chalangwa a
32695,bugugo
32696,madizini kati
32700,gawal
32706,imalangi
32707,senta 'a'
32713,itaba
32716,isalalo
32720,isalalo
32726,emao
32728,amrushu kisale
32731,zegereni
32733,kashenshero
32735,lulanzi
32736,nzihi b
32737,gudedeshi
32739,lutowelo
32740,shangweni
32743,tlawi juu
32744,malla
32749,loloiboni
32753,chizomoche
32756,mshoka
32757,mchekeni
32759,nyachanga
32761,lawate
32763,midahani
32764,amrushu kisale
32765,m/kati
32766,imalangi
32772,geteba
32774,mahango
32776,nselembwe
32782,gitianga 'a'
32786,nyalule
32790,mazighani
32793,mkapita
32794,kiwela a
32795,mang'amba
32797,buhekela
32798,nyabihore
32799,lomakaa
32808,masa chini
32809,nkiniziwa c
32811,mubamba
32812,nanyati
32814,mkapita
32815,kitipwi
32818,tariso
32821,isandula b
32822,kingobwe
32825,bugumwa
32826,nakibondo
32827,chakwale mjini
32833,mungoma
32834,naromolu
32836,kasanda
32838,omukashenyi
32839,bulyang'ombe kati
32840,mtamba shule
32841,centre
32842,kwitangi
32844,mchekeni
32845,chakwale mjini
32852,buswalila
32854,nyashishi
32855,kibwe
32857,napoko
32863,lwanji
32864,kwaraa
32865,mtindili
32869,ukalawa
32870,kigongoni street
32873,kishewa
32876,maji coast
32877,manga magharibi
32878,makao makuu b
32879,mwitambo
32880,itinde
32881,iziwira
32886,bugoloka
32888,mbarika
32891,mji a
32892,centre
32895,kibwe
32896,goha
32899,maliaseli
32904,komsanga
32915,kandaskilieti
32916,go down
32917,kiwili
32918,mlesa
32923,kibululu
32924,kiegeani
32925,kibama
32926,mofi
32927,kabwana
32928,hinjiri
32931,kayuki
32932,kyafuma
32933,kanalunwa
32936,mchekeni
32943,kibululu
32946,nsololo tankini
32947,luhiti
32950,kinarani
32952,yungu
32953,rabai
32954,msanzi kati
32956,kapugi
32957,shuleni street
32959,mremre
32960,kahangara
32966,lalago mjini
32967,kishoju 1
32968,amuhama
32969,chakwale mjini
32972,doroto
32977,mirambi
32979,chivu b
32981,mungumaji
32982,madizini kati
32983,rabiro
32984,jumuiya
32991,friend's corner
32992,kaluyango
32993,matwalani
32994,nsanga
32998,kuvukareli
32999,kasanda
33000,kaluyango
33001,mlesa
33002,kapugi
33005,toronto
33006,nampako
33007,sayuni
33008,madizini kati
33009,no 1
33011,i/kati
33013,marukeni
33016,ibuta
33019,no 1
33022,no 1
33029,magangasenga
33034,mende
33035,isalalo
33037,magubika
33041,unyarughe
33044,kilongoni
33046,mugombe b
33047,ngerekwe
33048,kiseni
33050,arauyo
33053,ikemeja
33055,mbwamaji
33058,kilongoni
33059,nkeso a
33060,simha
33062,komstari
33064,migege
33066,moteti
33068,nzihi b
33069,ngerezini
33070,chakwale mjini
33071,vumari
33072,lugongoni
33077,malolo chini
33080,midahani
33081,mchekeni
33084,tambuka relini
33086,mshoka
33087,plot
33089,mengeni
33090,lepoloseki
33091,kabirizi mangaribi
33092,mria
33095,nselembwe
33096,kashozi b
33101,igalila
33102,umarini
33103,emao
33105,ndalambo kati
33107,mahango
33109,mbweera
33111,mahango
33113,sebuleni
33114,nyalule
33116,mandel
33117,umarini
33118,mapinduzi b
33120,dabus
33124,goha
33125,chela center
33126,manga magharibi
33128,chanyangabwa a
33129,ilela
33130,tangu
33132,midahani
33135,chalangwa a
33137,magadu
33140,madizini kati
33141,chanyangabwa a
33145,moa
33146,hilu
33148,orbesh
33150,lutowelo
33151,ngogomoni
33152,bulila
33154,rwisaka
33155,mvumi a
33159,ilomba
33169,itaja
33170,olorien
33174,dinyanga
33181,kisanjuni
33186,rusesa
33188,doroto
33194,msimba a
33196,maduka
33198,ikiligano
33199,zobogo
33201,kumwai
33202,madizini kati
33203,kiondeni
33205,tabora b
33207,ugimu
33209,mlesa
33210,nyundo
33211,tuleane
33212,mbarika
33213,some
33214,kigale
33216,mtaa wa yangeyange
33217,lusangi
33219,maliasili
33220,engikaleti
33225,matanana
33230,masinonda
33232,fungafunga
33242,mchombe a
33244,kabagombe
33245,no 1
33250,naibili
33253,kahangara
33254,igomamhuli a
33255,shebomeza
33257,omukashenyi
33261,chalangwa a
33262,manga magharibi
33263,kapugi
33264,kimira
33268,kigugu
33270,kingobwe
33272,nyamkong'oti
33274,nduta
33277,nselembwe
33278,kanalunwa
33279,kihogazi
33281,kishoju 1
33282,kitwechembogo b
33283,go down
33284,bukene mjini
33287,nsololo tankini
33288,igominyi
33291,hinjiri
33292,ngombezi
33293,stand a
33294,kashenshero
33295,ihenye
33297,mubamba
33299,mhunda
33300,pamila
33301,kumwai
33302,kinyinya
33304,busota
33308,amuhama
33311,dosidosi
33312,sangamwampuya
33315,naromolu
33320,kiondeni
33322,rabiro
33323,kiruani c
33325,lusangi
33327,kigale
33330,cha mashariki
33332,nsololo tankini
33333,omukashenyi
33337,kapugi
33339,kabwana
33340,marumbo
33341,ipilingitya
33342,murusagamba
33344,fungafunga
33347,kishiha
33349,lwanji
33352,mara b
33353,mwitambo
33361,ilela
33363,mikameni
33365,ngando
33371,mwalukuliko
33372,kigugu
33377,uvinza
33379,maghang kati
33380,mkapita
33382,ngegemo
33384,ng'ai
33385,ngando
33388,sangamwampuya
33389,kishoju 1
33399,nsojo
33400,mnola
33401,madizini kati
33405,kishiha
33409,gwanumpu a
33412,gwanumpu a
33414,matwalani
33416,isalalo
33418,lituta
33421,mikameni
33422,nyangova
33426,ngaganulwa
33431,bunukangoma
33432,ngerekwe
33433,matanda
33435,kihogazi
33441,bukiriro kati
33443,imalangi
33444,kumkomakoma
33445,lubindi
33446,zobogo
33447,mubamba
33448,dakau kati
33449,ngombezi
33454,mwamagunguli
33455,irangi
33456,ngeke
33458,kahangara
33463,kisanzuni
33464,dumanang
33466,miguruwe
33468,usisya kati
33469,chakwale mjini
33475,ngerengere kaskazini
33478,mganza kati
33481,kaluyango
33483,mishenye
33484,mirambi
33485,malinyi mjini
33490,uhemeli kati
33491,hallu
33492,singiwe a
33493,igegu
33494,nsololo tankini
33499,mlesa
33504,ololua
33505,dakau kati
33506,chiminula a
33508,reha
33509,mgholo
33510,no 1
33516,godown a
33517,doroto
33519,mandel
33522,mbaaseny
33524,msanzi kati
33529,gudedeshi
33531,chalangwa a
33532,kamilangete
33535,tingi mjini
33542,iwanga kati
33545,kishewa
33551,mwabakali
33552,orbesh
33560,nyakuguma
33561,iponda
33563,walla
33565,mkapita
33566,shambwe
33567,no 1
33568,junjuhu
33570,misha
33571,mara b
33573,ikunya
33576,kibululu
33577,rabai
33584,kigale
33585,itinde
33589,iyunguya
33590,i/kati
33593,kaluyango
33594,wichamike
33597,irangi
33598,matangini b
33599,some
33600,lituhi 'a'
33601,bulyang'ombe kati
33603,mria
33607,naibili
33608,ighembe
33610,ibangamoyo
33613,tupa
33614,masumuni
33615,nanyati
33622,matarau
33623,nyaruyoba
33624,leiwa
33625,bunukangoma
33627,mlenvya
33629,olodendereit
33633,buhekela
33634,lekako
33636,kuvukareli
33642,mjenga
33643,ipilingitya
33651,matanda
33652,nkomalai
33657,nsasa
33662,l
33663,dosidosi
33664,shuleni street
33665,ipoma
33670,shuleni street
33671,chivu a
33673,mankwi
33676,beselini
33677,kiduguda a
33678,nyabianga ya kati
33680,uyamba
33681,tupa
33682,muyegeani
33683,mwayaya
33684,mavinuni
33685,kenswa mta wa kwanza
33686,sokomsuya
33688,m/kati
33691,kasanda
33692,ng'ai
33694,kabirizi mangaribi
33696,mganza kati
33697,buswalila
33700,katuruka
33703,nyabenge
33707,mirambi
33710,irangi
33716,itungulu
33717,makugulu 'b'
33720,mgololo
33721,chankabwimba
33726,ngerengere kaskazini
33727,mandangeni
33729,kibunduga
33730,katoke centre
33731,kinyinya
33738,igegu
33744,tambuka relini
33745,mwitambo
33746,ildoinyio
33747,kishale
33751,mnadan
33753,tanya
33755,meshili
33758,kayuki
33761,imalangi
33766,lumbila kati
33767,mkeha
33768,chakwale mjini
33771,gumali
33773,kashenshero
33776,rugongoni
33780,kangabusharo
33781,misha
33782,lusangi
33784,mbae mashariki
33785,matadi a
